pressure,in_situ_temp,practical_salinity,latitude,longitude,absolute_salinity,conservative_temp,density,sound_speed,temp_gradient,sound_speed_gradient,is_thermocline,is_sound_channel
712.8,7.746,34.837,-4.006523333333333,76.29734,35.00707824375081,7.6664818230574046,1030.4241117396857,1492.8844791499362,-0.00761095427803396,-0.012560596713687033,False,False
737.7,7.583,34.845,-4.006523333333333,76.29734,35.01537092395505,7.501650517933037,1030.5690149774111,1492.6785610301777,-0.003674698795180731,0.003105036039766418,False,True
762.6,7.563,34.869,-4.006523333333333,76.29734,35.03974090136807,7.478727439703835,1030.703331941136,1493.0391099447168,0.0005688907378720021,0.020267749980199312,False,False
787.4,7.611,34.914,-4.006523333333333,76.29734,35.08521693121105,7.523032262694474,1030.842548194567,1493.6847129538617,5.7816281245987033e-05,0.017946074441915982,False,False
812.7,7.564,34.923,-4.006523333333333,76.29734,35.094511974038824,7.473474666390912,1030.9712155314303,1493.930040454127,-0.002560918761261466,0.0066967976012186625,False,False
837.6,7.483,34.92,-4.006523333333333,76.29734,35.091713658434784,7.390398454769354,1031.09416731971,1494.0232731747124,-0.0067155419994445464,-0.01043841519367561,False,False
862.1,7.235,34.885,-4.006523333333333,76.29734,35.05675657125006,7.142076644995621,1031.2171327146498,1493.4256377706656,-0.011426762705082055,-0.029679803133312532,False,False
887.6,6.909,34.845,-4.006523333333333,76.29734,35.01678592454015,6.816363015764413,1031.352523871969,1492.5284941989946,-0.009092283427708986,-0.020005267758214984,False,False
912.7,6.772,34.842,-4.006523333333333,76.29734,35.01398356057445,6.677821431464445,1031.4848826128894,1492.401324982815,-0.007532600183798671,-0.013615728744547084,False,False
937.1,6.539,34.825,-4.006523333333333,76.29734,34.99708034225376,6.444342419493368,1031.6178584205152,1491.8663176454477,-0.0031728193954760897,0.004516208930890997,False,True
962.4,6.626,34.866,-4.006523333333333,76.29734,35.03846910135883,6.527461676395104,1031.7505988839866,1492.674255309394,-0.005135562010889383,-0.003944326357579797,False,False
987.3,6.288,34.823,-4.006523333333333,76.29734,34.99543976935461,6.190271157075261,1031.8814539397742,1491.696788459025,-0.009802155481830735,-0.023547525770275968,False,False
1024.5,6.133,34.824,-4.006523333333333,76.29734,34.996699669216845,6.032802933166246,1032.0737914871545,1491.6938162995882,-0.004807322064476177,-0.0028513126021962876,False,False
1075.2,5.845,34.808,-4.006523333333333,76.29734,34.98092868967459,5.7424760261784575,1032.33364869696,1491.3577521509085,-0.001956202259785912,0.00909774098491134,False,True
1125.6,5.933,34.861,-4.006523333333333,76.29734,35.0344882868609,5.823923514367287,1032.5892353122354,1492.6041900944308,-0.002592175573696162,0.00627323129806534,False,False
1174.9,5.596,34.829,-4.006523333333333,76.29734,35.002580268372554,5.485666580259702,1032.8373652551118,1492.0233570771245,-0.004763127232676419,-0.0030285481461618247,False,True
1224.8,5.463,34.834,-4.006523333333333,76.29734,35.007851336178106,5.34900985569549,1033.0862108701829,1492.3143257007273,-0.0033767535070140173,0.0027444855028289084,False,False
1274.7,5.259,34.824,-4.006523333333333,76.29734,34.99801334872073,5.142364417483322,1033.3337301452796,1492.2972567303066,-0.0037115096860387484,0.001260160595219162,False,True
1324.8,5.092,34.822,-4.006523333333333,76.29734,34.9962082382741,4.972309631433289,1033.5827347847762,1492.4409839342495,-0.0043847408637301966,-0.0016363002242982816,False,False
1375.0,4.819,34.806,-4.006523333333333,76.29734,34.98032470615807,4.697707642439501,1033.8366166717865,1492.1322338972484,-0.004878007490994096,-0.0038046289428148583,False,False
1425.0,4.603,34.798,-4.006523333333333,76.29734,34.97248062723205,4.479530498448578,1034.0872197115625,1492.0588236752385,-0.003394648492761991,0.002490189171243884,False,True
1474.7,4.48,34.803,-4.006523333333333,76.29734,34.97770502130625,4.353226063824879,1034.3330012806402,1492.3781378465633,-0.0030233779216051818,0.004038612543778797,False,False
1525.0,4.3,34.8,-4.006523333333333,76.29734,34.974875679837794,4.170731283008437,1034.583329086712,1492.459804181274,-0.003635685430166187,0.0013469146637099527,False,False
1575.1,4.115,34.796,-4.006523333333333,76.29734,34.97097787380145,3.983432672290587,1034.8324805905752,1492.513478526991,-0.0038323353293413104,0.000485208548916205,False,False
1625.2,3.916,34.794,-4.006523333333333,76.29734,34.969085166291755,3.7823979512068737,1035.0850255333262,1492.5084220778754,-0.0037146247702757595,0.0009338943525101229,False,True
1671.2,3.756,34.791,-4.006523333333333,76.29734,34.966181969445266,3.620338709056999,1035.3126105606084,1492.5950874506832,-0.0034782608695652206,0.0018840298436484575,False,False
