pressure,in_situ_temp,practical_salinity,latitude,longitude,absolute_salinity,conservative_temp,density,sound_speed
45.3,22.127,35.237,-4.006523333333333,76.29734,35.403664580028845,22.105352998095682,1024.5622046462076,1528.080782492925
54.9,21.058,35.195,-4.006523333333333,76.29734,35.36156718393033,21.035124515182677,1024.8692962289188,1525.3817295965355
64.9,19.781,35.189,-4.006523333333333,76.29734,35.35563203492297,19.75580319480369,1025.2511090497458,1522.0691310278264
75.1,19.148,35.185,-4.006523333333333,76.29734,35.351710934062545,19.120890139926466,1025.4575626151627,1520.4658615412159
85.0,18.523,35.15,-4.006523333333333,76.29734,35.316687760172044,18.495090373066677,1025.6337523262637,1518.8141405087538
95.0,17.732,35.139,-4.006523333333333,76.29734,35.3057829288784,17.702681505968766,1025.8663897782171,1516.6750447975155
104.8,16.878,35.158,-4.006523333333333,76.29734,35.32501795445925,16.846678295173557,1026.1308989895103,1514.3280005326087
115.0,16.128,35.163,-4.006523333333333,76.29734,35.33018506453032,16.09520031626444,1026.356163974918,1512.230641528102
125.0,15.59,35.158,-4.006523333333333,76.29734,35.32530728303876,15.556070033542047,1026.5200700088492,1510.7315506297869
135.1,15.197,35.148,-4.006523333333333,76.29734,35.31538128682437,15.162048798292364,1026.6457230268156,1509.6595049335363
145.2,14.833,35.132,-4.006523333333333,76.29734,35.29942764304314,14.797222052687943,1026.7590538482043,1508.6591718859843
155.0,14.347,35.086,-4.006523333333333,76.29734,35.25330770912263,14.311354085625563,1026.8732240879724,1507.2165469478655
164.9,13.896,35.069,-4.006523333333333,76.29734,35.23630532662087,13.859789454545032,1027.0006689542004,1505.902651629025
175.0,13.482,35.059,-4.006523333333333,76.29734,35.22633397099586,13.44506371714198,1027.1249182236177,1504.7040705609
185.0,13.337,35.08,-4.006523333333333,76.29734,35.24748439256403,13.298348445436135,1027.2157800258572,1504.4152552046369
194.8,12.912,35.058,-4.006523333333333,76.29734,35.22541825131195,12.873084935689489,1027.3296543637705,1503.1405513482757
210.2,12.544,35.025,-4.006523333333333,76.29734,35.19230916973782,12.504280234355662,1027.4469968485216,1502.1200440252414
229.8,12.164,35.01,-4.006523333333333,76.29734,35.17726951304634,12.122616572955335,1027.5982196907905,1501.1363990515517
250.0,11.738,34.993,-4.006523333333333,76.29734,35.160226282818556,11.695118475685307,1027.7582788545487,1499.9889520948407
269.8,11.494,34.994,-4.006523333333333,76.29734,35.161280401768714,11.449035348156883,1027.8944363170438,1499.4714113173916
